"","SITE","SiteSubsite","TotalSurvArea"
"121","ANWR","ANWR:JAGO-A",10
"122","ANWR","ANWR:JAGO-B",10
"123","BROOKS","BROOKS:SHEEN-B",9
"124","DARING","DARING:DARINGOTCB",4
"125","DARING","DARING:DARINGOTCF",3
"126","ENDALEN","ENDALEN:BIS-H",2.8125
"127","ENDALEN","ENDALEN:CAS-H",2.8125
"128","ENDALEN","ENDALEN:DRY-H",2.8125
"129","AUYUITTUQ","AUYUITTUQ:OWL RIVER",15
"130","IGLOOLIK","IGLOOLIK:IGLOOLIK",4.9
"131","NARSARSUAQ","NARSARSUAQ:HIGH_ELEVATION",2
"132","NUUK","NUUK:KOBBEFJORD",2.205
"133","QUTTINIRPAAQ","QUTTINIRPAAQ:TANQUARY_FIORD",11
"134","ATQASUK","ATQASUK:AD",18
"135","ATQASUK","ATQASUK:AW",17.25
"136","BARROW","BARROW:BD",18
"137","BARROW","BARROW:BW",18
"138","ATQASUK","ATQASUK:AG",60.75
"139","BARROW","BARROW:BG",51
"140","BYLOT","BYLOT:MESPRAIRIE",11.76
"141","BYLOT","BYLOT:MESPOLYGON",11.76
"142","ALEXFIORD","ALEXFIORD:MEADOW",10
"143","ALEXFIORD","ALEXFIORD:WILLOW",10
"144","ALEXFIORD","ALEXFIORD:FERT",5
"145","ALEXFIORD","ALEXFIORD:DOMEGRANITE",11
"146","ALEXFIORD","ALEXFIORD:DOMEDOLOMITE",11
"147","ALEXFIORD","ALEXFIORD:DRYAS",14
"148","ALEXFIORD","ALEXFIORD:CASSIOPE",24
"149","ENDALEN","ENDALEN:DRY-L",2.8125
"150","ENDALEN","ENDALEN:CAS-L",2.8125
"151","ENDALEN","ENDALEN:BIS-L",2.8125
"152","AUDKULUHEIDI","AUDKULUHEIDI:BETULAHEATH",5.625
"153","THINGVELLIR","THINGVELLIR:MOSS HEATH",5.625
"154","QHI","QHI:HE",6
"155","QHI","QHI:KO",6
