"","x"
"119","KILPISJARVI:KILPISJARVI:C2:2007"
"120","KILPISJARVI:KILPISJARVI:C2:2010"
"121","KILPISJARVI:KILPISJARVI:C3:2007"
"122","KILPISJARVI:KILPISJARVI:C3:2010"
"123","KILPISJARVI:KILPISJARVI:C4:2007"
"124","KILPISJARVI:KILPISJARVI:C4:2010"
"125","KILPISJARVI:KILPISJARVI:C5:2007"
"126","KILPISJARVI:KILPISJARVI:C5:2010"
"127","NAKKALA:10:45_p45s179b:2002"
"128","SADVENT:MES_POINTFRAME:DGUA:2014"
"129","SADVENT:MES_POINTFRAME:DEHA:2014"
"130","JAMESONLAND:COLORADO:CTL_2_1:2020"
"131","JAMESONLAND:COLORADO:CTL_2_2:2020"
"132","ZACKENBERG:SALIX_SITE:S1_CONT:2009"
"133","ZACKENBERG:SALIX_SITE:S4_CONT:2009"
"134","THUFUVER:PALSA:PALSA1_2:1990"
"135","THUFUVER:PALSA:PALSA5_8:2007"
"136","WOLFCREEK:WOLFCREEK:WOLFCREEK_CTL_14:1998"
"137","WOLFCREEK:WOLFCREEK:WOLFCREEK_CTL_15:1998"
"138","WOLFCREEK:WOLFCREEK:WOLFCREEK_CTL_6:1998"
"139","WOLFCREEK:WOLFCREEK:WOLFCREEK_CTL_1:2003"
"140","WOLFCREEK:WOLFCREEK:WOLFCREEK_CTL_14:2003"
"141","WOLFCREEK:WOLFCREEK:WOLFCREEK_CTL_6:2003"
"142","WOLFCREEK:WOLFCREEK:WOLFCREEK_CTL_14:2008"
"143","WOLFCREEK:WOLFCREEK:WOLFCREEK_CTL_19:2008"
"144","WOLFCREEK:WOLFCREEK:WOLFCREEK_CTL_6:2008"
"145","ZACKENBERG:CASSIOPE_SITE:C2_CONT:2008"
"146","ZACKENBERG:SALIX_SITE:S3_CONT:2008"
"147","ZACKENBERG:SALIX_SITE:S4_CONT:2008"
"148","ZACKENBERG:SALIX_SITE:S5_CONT:2008"
"149","KANGER:BASHFUL:A_GRAZED:2004"
"150","KANGER:BASHFUL:B_GRAZED:2004"
"151","KANGER:BASHFUL:C_GRAZED:2004"
"152","KANGER:BASHFUL:A_GRAZED:2005"
"153","KANGER:BASHFUL:B_GRAZED:2005"
"154","KANGER:BASHFUL:A_GRAZED:2006"
"155","KANGER:BASHFUL:B_GRAZED:2006"
"156","KANGER:BASHFUL:C_GRAZED:2006"
"157","KANGER:BASHFUL:A_GRAZED:2007"
"158","KANGER:BASHFUL:B_GRAZED:2007"
"159","KANGER:BASHFUL:C_GRAZED:2007"
"160","KANGER:BASHFUL:A_GRAZED:2008"
"161","KANGER:BASHFUL:B_GRAZED:2008"
"162","KANGER:BASHFUL:C_GRAZED:2008"
"163","KANGER:BASHFUL:A_GRAZED:2009"
"164","KANGER:BASHFUL:B_GRAZED:2009"
"165","KANGER:BASHFUL:C_GRAZED:2009"
"166","KANGER:BASHFUL:A_GRAZED:2010"
"167","KANGER:BASHFUL:B_GRAZED:2010"
"168","KANGER:BASHFUL:C_GRAZED:2010"
"169","KANGER:BASHFUL:A_GRAZED:2011"
"170","KANGER:BASHFUL:B_GRAZED:2011"
"171","KANGER:BASHFUL:C_GRAZED:2011"
"172","KANGER:BASHFUL:A_GRAZED:2012"
"173","KANGER:BASHFUL:B_GRAZED:2012"
"174","KANGER:BASHFUL:C_GRAZED:2012"
"175","KANGER:BASHFUL:A_GRAZED:2013"
"176","KANGER:BASHFUL:B_GRAZED:2013"
"177","KANGER:BASHFUL:C_GRAZED:2013"
"178","KANGER:BASHFUL:A_GRAZED:2014"
"179","KANGER:BASHFUL:B_GRAZED:2014"
"180","KANGER:BASHFUL:C_GRAZED:2014"
"181","KANGER:BASHFUL:B_GRAZED:2015"
"182","KANGER:BASHFUL:C_GRAZED:2015"
"183","KANGER:BASHFUL:C_GRAZED:2016"
"184","KANGER:BASHFUL:B_GRAZED:2017"
"185","KANGER:BASHFUL:C_GRAZED:2017"
"186","KANGER:DOPEY:A_GRAZED:2003"
"187","KANGER:DOPEY:B_GRAZED:2003"
"188","KANGER:DOPEY:C_GRAZED:2003"
"189","KANGER:DOPEY:A_GRAZED:2004"
"190","KANGER:DOPEY:C_GRAZED:2004"
"191","KANGER:DOPEY:B_GRAZED:2006"
"192","KANGER:DOPEY:C_GRAZED:2006"
"193","KANGER:DOPEY:B_GRAZED:2007"
