"","SiteSubsitePlot","ForbSlope","GraminoidSlope","ShrubSlope"
"1","ABISKO:ABISKODRY_PADDUS:CTL_1",1.23391812865496,-2.25730994152045,1.02339181286549
"2","ABISKO:ABISKODRY_PADDUS:CTL_2",0.458420061453064,-0.126375260184358,-0.332044801268707
"3","ABISKO:ABISKODRY_PADDUS:CTL_3",3.15534785058497,0.159093168937057,-3.31444101952203
"4","ABISKO:ABISKODRY_PADDUS:CTL_4",2.20392156862743,-1.87450980392155,-0.329411764705878
"5","ABISKO:ABISKODRY_PADDUS:CTL_5",0.760582010582005,-0.11574074074074,-0.644841269841261
"6","ABISKO:ABISKODRY_PADDUS:CTL_6",0.347222222222219,-0.44535024154589,0.0981280193236775
"7","ABISKO:ABISKOWET_FLUX:1_CTL",-1.41505137634566,-1.83383129149749,3.24888266784315
"8","ABISKO:ABISKOWET_FLUX:2_CTL",-0.421758130917019,1.78184706844639,-1.36008893752937
"9","ABISKO:ABISKOWET_FLUX:3_CTL",-0.546118907096388,-3.5383505264635,4.08446943355988
"10","ABISKO:ABISKOWET_FLUX:4_CTL",-0.131084183132254,-2.16102706372826,2.29211124686051
"11","ABISKO:ABISKOWET_FLUX:5_CTL",0.621865631510361,-0.846088850250524,0.224223218740163
"12","ABISKO:ABISKOWET_FLUX:6_CTL",0.679897285901813,-0.725429456542145,0.0455321706403282
"13","ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl1",0.237030745692459,0.644206024179379,-0.881236769871838
"14","ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl2",0.423516622618722,-1.36708161381204,0.943564991193321
"15","ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl3",0.0716014766856775,-0.93543453279807,0.863833056112391
"16","ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl4",0.231536647672275,-2.46419364748253,2.23265699981025
"17","ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl5",0.174982021316716,-2.23259252768324,2.05761050636652
"18","ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl6",0.00756386470672185,-1.2909714002151,1.28340753550838
"19","ABISKO:PEATLAND:AA1",0.0197733785742332,-0.0274762821068605,0.00770290353263292
"20","ABISKO:PEATLAND:AA2",0.387694637028072,0.107811180494058,-0.495505817522128
"21","ABISKO:PEATLAND:AA3",0.157785714381651,0.231718529312548,-0.389504243694196
"22","ABISKO:PEATLAND:AA4",1.52255363706618,-0.159826222639159,-1.36272741442701
"23","ABISKO:PEATLAND:AA5",0.381176489861766,-0.0710320551564104,-0.310144434705354
"24","ABISKO:lower_forest:ALFc1",NA,-2.42897327707452,2.42897327707452
"25","ABISKO:lower_forest:ALFc2",NA,-1.75806451612902,1.75806451612902
"26","ABISKO:lower_forest:ALFc3",NA,-1.61842105263157,1.61842105263156
"27","ABISKO:lower_forest:ALFc4",-0.10204081632653,-3.9772727272727,4.07931354359922
"28","ABISKO:lower_forest:ALFc5",-0.256410256410254,-4.70230334637111,4.95871360278136
"29","ABISKO:lower_tundra:ALTc1",NA,-0.216012821406172,0.21601282140617
"30","ABISKO:lower_tundra:ALTc2",0.555555555555551,NA,-0.555555555555553
"31","ABISKO:lower_tundra:ALTc3",NA,-0.642857142857138,0.642857142857136
"32","ABISKO:lower_tundra:ALTc4",-0.365853658536582,-0.121951219512194,0.487804878048777
"33","ABISKO:lower_tundra:ALTc5",NA,0.249999999999998,-0.249999999999998
"34","ABISKO:upper_forest:AUFc1",NA,1.73475150602408,-1.73475150602408
"35","ABISKO:upper_forest:AUFc3",0.298507462686565,-3.03954679158947,2.74103932890291
"36","ABISKO:upper_forest:AUFc5",-0.0271821202053758,3.15690123829656,-3.12971911809119
"37","ABISKO:upper_tundra:AUTc1",NA,0.710900473933643,-0.710900473933645
"38","ABISKO:upper_tundra:AUTc2",NA,0.173913043478259,-0.173913043478262
"39","ABISKO:upper_tundra:AUTc3",NA,0.833333333333326,-0.833333333333331
"40","ABISKO:upper_tundra:AUTc4",0.173410404624276,0.115606936416184,-0.28901734104046
"41","ABISKO:upper_tundra:AUTc5",0.499999999999996,-0.318713450292395,-0.181286549707601
"42","ALEXFIORD:CASSIOPE:Cas.c.c.10new",0.352712360860482,0.281175070287949,-0.633887431148431
"43","ALEXFIORD:CASSIOPE:Cas.c.c.11new",0.0581548559500322,0.77022850428582,-0.828383360235852
"44","ALEXFIORD:CASSIOPE:Cas.c.c.12",0.584523809523811,0.50019157088123,-1.08471538040504
"45","ALEXFIORD:CASSIOPE:Cas.c.c.12new",-0.0259569704287203,0.222623207742087,-0.196666237313366
"46","ALEXFIORD:CASSIOPE:Cas.c.c.13",0.337438714631699,0.142670581267073,-0.480109295898772
"47","ALEXFIORD:CASSIOPE:Cas.c.c.13new",0.0143357133800676,0.164161091174511,-0.178496804554579
"48","ALEXFIORD:CASSIOPE:Cas.c.c.14new",0.0582930173054811,-0.485471836142966,0.427178818837485
"49","ALEXFIORD:CASSIOPE:Cas.c.c.15new",-0.0225428524659148,-0.2350162523677,0.257559104833615
"50","ALEXFIORD:CASSIOPE:Cas.c.c.16",-0.611709090224215,-0.263435696057105,0.87514478628132
"51","ALEXFIORD:CASSIOPE:Cas.c.c.16new",-0.02730196158574,0.243320615771611,-0.216018654185872
"52","ALEXFIORD:CASSIOPE:Cas.c.c.17new",-0.338238336157577,-0.233906526208204,0.57214486236578
"53","ALEXFIORD:CASSIOPE:Cas.c.c.18new",-0.0456512312212214,-0.583348440295271,0.628999671516492
"54","ALEXFIORD:CASSIOPE:Cas.c.c.1new",-0.332130088458135,1.22481756867382,-0.892687480215685
"55","ALEXFIORD:CASSIOPE:Cas.c.c.2",-0.147310206133735,-0.137087313557901,0.284397519691635
"56","ALEXFIORD:CASSIOPE:Cas.c.c.2new",-0.0871393360536688,-0.173248050271336,0.260387386325005
"57","ALEXFIORD:CASSIOPE:Cas.c.c.3new",0.147522713907308,NA,-0.147522713907309
"58","ALEXFIORD:CASSIOPE:Cas.c.c.4",-0.299109882365698,-0.0374876974876985,0.336597579853396
"59","ALEXFIORD:CASSIOPE:Cas.c.c.4new",-0.11058990272502,0.27858431932661,-0.167994416601591
"60","ALEXFIORD:CASSIOPE:Cas.c.c.5new",0.246820672205587,-0.187925340905994,-0.0588953312995923
"61","ALEXFIORD:CASSIOPE:Cas.c.c.6new",0.0357638617256751,0.190965583029052,-0.226729444754727
"62","ALEXFIORD:CASSIOPE:Cas.c.c.7new",0.0437510905640094,-0.129339945272256,0.0855888547082463
"63","ALEXFIORD:CASSIOPE:Cas.c.c.8new",0.210179216810055,-0.0677013418459008,-0.142477874964154
"64","ALEXFIORD:CASSIOPE:Cas.c.c.9",-0.273440106773437,0.0957624290957661,0.17767767767767
"65","ALEXFIORD:CASSIOPE:Cas.c.c.9new",0.579400198009303,0.0831275844096617,-0.662527782418963
"66","ALEXFIORD:CASSIOPE_COVER:ALL",-0.00988005985175195,-0.173631031700308,0.18351109155206
"67","ALEXFIORD:DOMEDOLOMITE:Dom.c.1d",NA,NA,-5.72416799667436e-16
"68","ALEXFIORD:DOMEDOLOMITE:Dom.c.2d",-2.13870431893692,NA,2.13870431893692
"69","ALEXFIORD:DOMEDOLOMITE:Dom.c.3d",NA,NA,-5.72416799667436e-16
"70","ALEXFIORD:DOMEDOLOMITE:Dom.c.4d",-6.97674418604686,NA,6.97674418604685
"71","ALEXFIORD:DOMEDOLOMITE:Dom.c.5d",-1.00775193798446,NA,1.00775193798446
"72","ALEXFIORD:DOMEGRANITE:Dom.c.1g",-1.52057245080492,-0.0894454382826117,1.61001788908753
"73","ALEXFIORD:DOMEGRANITE:Dom.c.2g",-0.823643410852382,-0.0484496124030814,0.872093023255463
"74","ALEXFIORD:DOMEGRANITE:Dom.c.3g",-1.74418604651171,-1.03820598006642,2.78239202657813
"75","ALEXFIORD:DOMEGRANITE:Dom.c.4g",-4.49612403100752,-0.15503875968986,4.65116279069738
"76","ALEXFIORD:DOMEGRANITE:Dom.c.5g",-0.432319618366131,-0.775193798449651,1.20751341681578
"77","ALEXFIORD:DRYAS:Dry.c.1",-0.281494635626902,0.871080704727404,-0.589586069100503
"78","ALEXFIORD:DRYAS:Dry.c.10",-0.171876655565845,0.826285372945739,-0.654408717379894
"79","ALEXFIORD:DRYAS:Dry.c.2",0.0843020380124342,0.236388093293217,-0.320690131305651
"80","ALEXFIORD:DRYAS:Dry.c.3",0.0183724013805652,-0.12681028887627,0.108437887495705
"81","ALEXFIORD:DRYAS:Dry.c.4",0.0485894594581066,0.477004449422261,-0.525593908880368
"82","ALEXFIORD:DRYAS:Dry.c.5",-0.120642132685536,0.790679726461443,-0.670037593775907
"83","ALEXFIORD:DRYAS:Dry.c.6",0.0367836408610938,0.613099030826252,-0.649882671687345
"84","ALEXFIORD:DRYAS:Dry.c.7",-0.0689881089315236,0.249173891586914,-0.18018578265539
"85","ALEXFIORD:DRYAS:Dry.c.8",-0.324948419404558,1.26656660329405,-0.941618183889493
"86","ALEXFIORD:DRYAS:Dry.c.9",-0.19114058837775,1.62803662922424,-1.43689604084649
"87","ALEXFIORD:FERT:Fert.c.c.13",-0.0159454866666561,0.370593428436367,-0.354647941769711
"88","ALEXFIORD:FERT:Fert.c.c.21",-0.114615176889502,-0.249439744338669,0.364054921228168
"89","ALEXFIORD:FERT:Fert.c.c.29",-0.0795733454663522,-0.520432191092194,0.600005536558545
"90","ALEXFIORD:FERT:Fert.c.c.37",0.00603141104075559,0.120293583635634,-0.12632499467639
"91","ALEXFIORD:FERT:Fert.c.c.5",-0.0725145831166687,-0.284992061602977,0.357506644719645
"92","ALEXFIORD:MEADOW:Mead.c.1",-0.133580254387711,0.543127373119216,-0.409547118731505
"93","ALEXFIORD:MEADOW:Mead.c.10",0.242385553917041,-0.618952961842945,0.376567407925905
"94","ALEXFIORD:MEADOW:Mead.c.2",0.154573246777184,0.486212375870261,-0.640785622647445
"95","ALEXFIORD:MEADOW:Mead.c.3",0.328619509651287,0.113150573401746,-0.441770083053034
"96","ALEXFIORD:MEADOW:Mead.c.4",0.0244811335741963,0.0671486319214038,-0.0916297654956005
"97","ALEXFIORD:MEADOW:Mead.c.5",0.165486915272244,-0.215800720202774,0.0503138049305319
"98","ALEXFIORD:MEADOW:Mead.c.6",0.273800172121979,0.514987533937101,-0.788787706059079
"99","ALEXFIORD:MEADOW:Mead.c.7",0.273696315316383,0.404727003705271,-0.678423319021656
