"","X1","Y1","SiteSubsite","X2","Y2","CoordDistance"
"1",0.117640166567001,0.250685774540232,"ABISKO:ABISKODRY_PADDUS",0.110362139142327,0.253129451055643,0.00767731972150967
"2",0.116456906095921,0.20535866780457,"ABISKO:ABISKOWET_FLUX",0.100173853212263,0.210488066238183,0.0170718639727111
"3",0.145723726210303,0.168986908098469,"ABISKO:ABISKOWET_MULTE",0.0835688816654437,0.182439549247824,0.0635940111511214
"4",0.190817457314252,0.0705283381750664,"ABISKO:PEATLAND",0.139639475865534,0.102354896214732,0.060267035614982
"5",0.255789305503477,0.0257953492477006,"ABISKO:lower_forest",0.308213529906313,0.00892346073544963,0.0550723154244374
"6",0.248973762547674,0.111801385726833,"ABISKO:lower_tundra",0.301380592649067,0.0671469656825752,0.0688512387017496
"7",0.306714877036376,0.00867010378412525,"ABISKO:upper_forest",0.256863264967625,0.0243098195584589,0.0522473342416166
"8",0.255849986912581,0.0944904218905202,"ABISKO:upper_tundra",0.281457025819245,0.100319431268867,0.0262620980102562
"9",-0.333796895769767,0.0617880213604027,"ALEXFIORD:CASSIOPE",-0.331208810603718,0.10025611735644,0.0385550592579889
"10",-0.246359852666961,0.196302093857605,"ALEXFIORD:CASSIOPE_COVER",-0.246359852666961,0.196302093857605,2.77555756156289e-17
"11",-0.166125069946701,0.180390374134851,"ALEXFIORD:DOMEDOLOMITE",-0.166125069946701,0.180390374134851,2.77555756156289e-17
"12",-0.180312635436728,0.146326081739398,"ALEXFIORD:DOMEGRANITE",-0.11488116539149,0.149118232186473,0.0654910175245421
"13",-0.274116145506346,0.136040313727317,"ALEXFIORD:DRYAS",-0.280705475976102,0.141176736131099,0.00835476577467738
"14",-0.27208042367238,0.0739908633434176,"ALEXFIORD:FERT",-0.300986682204473,0.080184227296317,0.0295622992911123
"15",-0.271416013656316,0.0436216021695876,"ALEXFIORD:MEADOW",-0.24601741912254,0.00525650925050717,0.046010530957389
"16",-0.262734755213916,0.110126814661476,"ALEXFIORD:WILLOW",-0.276898965187438,0.0897038814039429,0.0248539945887113
"17",0.0424353028382854,0.0552137889034628,"ANWR:ATIGUN-A",0.0503958998866454,0.0566887036374994,0.00809607799116567
"18",-0.0237468743397489,0.0726060569426065,"ANWR:ATIGUN-B",-0.0709674060212937,0.0070610527990902,0.0807832048167275
"19",-0.13004364895492,0.122218488045055,"ANWR:ATIGUN-C",-0.0957434817699664,0.134280845226869,0.0363593444618774
"20",0.0279943023357559,0.0540828045186685,"ANWR:JAGO-A",0.0583608475013278,0.0520896795759146,0.0304318847975301
"21",0.00762993539661685,0.0493559011794958,"ANWR:JAGO-B",-0.0291522320356044,0.0402624010858886,0.0378895709261057
"22",0.0101746745028307,0.0486710838282331,"ATQASUK:AD",0.00819761553264858,0.046561061271519,0.00289153200940607
"23",-0.0679599668468188,-0.0859149622371446,"ATQASUK:AG",-0.0924764635874456,-0.135487445911893,0.0553036142590735
"24",-0.0912499731083106,-0.206617594134042,"ATQASUK:AW",-0.07569069673055,-0.165004457374406,0.044426841350423
"25",-0.124267238497754,-0.123353917570528,"ATQASUK:RATE_BETULA_SHRUB",-0.114327809405773,-0.100490067889745,0.0249308618563408
"26",-0.246529857363207,-0.181040718545001,"ATQASUK:RATE_CAREX_ WET_MEADOW",-0.226137304530932,-0.207480160632304,0.0333901229243765
"27",-0.128593964796937,-0.0697776908009427,"ATQASUK:RATE_DRYAS_HEATH",-0.147289225474151,-0.0469189744823022,0.0295302164490052
"28",-0.211575001936655,-0.296161919891132,"ATQASUK:RATE_ERIOPHORUM_WET_MEADOW",-0.205375380897674,-0.328145706662445,0.0325791024624651
"29",-0.104455206974234,-0.0864143433930604,"ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW",-0.095138789365606,-0.074526578342934,0.015103463011686
"30",0.0923552280539551,0.222958738848732,"AUDKULUHEIDI:BETULAHEATH",0.118902274361399,0.170863732181692,0.0584690977122828
"31",-0.0555035890310238,0.206853895114369,"AUYUITTUQ:OWL RIVER",-0.054917351729501,0.107028124617072,0.0998274918524591
"32",-0.121351317350985,-0.232689012906615,"BARROW:ARCTOPHILA_POND_ORDINATION",-0.121351317350985,-0.232689012906615,3.10316769155909e-17
"33",-0.186382925432331,-0.13791643352231,"BARROW:BD",-0.209600797620763,-0.201378036755384,0.0675754739078499
"34",-0.221270292575359,-0.308426185844039,"BARROW:BG",-0.228022390633733,-0.364224121238316,0.0562049857437385
"35",-0.249672466068089,-0.364143597773554,"BARROW:BW",-0.2449291477062,-0.348519587174806,0.0163281589982464
"36",-0.13770228203006,-0.218184817517466,"BARROW:CAREX WET MEADOW_ORDINATION",-0.13770228203006,-0.218184817517466,1.11022302462516e-16
"37",-0.304344267789557,-0.431148431611146,"BARROW:CAREX_MESIC MEADOW_ORDINATION",-0.294549077735126,-0.400653802321707,0.0320291767565566
"38",-0.325791984132255,-0.433984862552325,"BARROW:CAREX_MOIST MEADOW_ORDINATION",-0.315818141461423,-0.405883695371651,0.0298186709049666
"39",-0.318178583430637,-0.444696187715202,"BARROW:CAREX_MOIST_MEADOW_MICROTOPO",-0.294481263386459,-0.451209710864978,0.0245761868706043
"40",-0.238854026310827,-0.391221107909645,"BARROW:CAREX_WET_MEADOW_MICROTOPO",-0.170278633758789,-0.357971989116686,0.0762108152703698
"41",-0.287695614240342,-0.244294455927028,"BARROW:DRY_HEATH_ORDINATION",-0.28969037209426,-0.234329288563102,0.0101628548886038
