"","SiteSubsiteYear","X","Y","TimePoint","SiteSubsite"
"54","ATQASUK:RATE_DRYAS_HEATH:End",-0.147289225474151,-0.0469189744823022,"End","ATQASUK:RATE_DRYAS_HEATH"
"55","ATQASUK:RATE_ERIOPHORUM_WET_MEADOW:Begin",-0.211575001936655,-0.296161919891132,"Start","ATQASUK:RATE_ERIOPHORUM_WET_MEADOW"
"56","ATQASUK:RATE_ERIOPHORUM_WET_MEADOW:End",-0.205375380897674,-0.328145706662445,"End","ATQASUK:RATE_ERIOPHORUM_WET_MEADOW"
"57","ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW:Begin",-0.104455206974234,-0.0864143433930604,"Start","ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW"
"58","ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW:End",-0.095138789365606,-0.074526578342934,"End","ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW"
"59","AUDKULUHEIDI:BETULAHEATH:Begin",0.0923552280539551,0.222958738848732,"Start","AUDKULUHEIDI:BETULAHEATH"
"60","AUDKULUHEIDI:BETULAHEATH:End",0.118902274361399,0.170863732181692,"End","AUDKULUHEIDI:BETULAHEATH"
"61","AUYUITTUQ:OWL RIVER:Begin",-0.0555035890310238,0.206853895114369,"Start","AUYUITTUQ:OWL RIVER"
"62","AUYUITTUQ:OWL RIVER:End",-0.054917351729501,0.107028124617072,"End","AUYUITTUQ:OWL RIVER"
"63","BARROW:ARCTOPHILA_POND_ORDINATION:Begin",-0.121351317350985,-0.232689012906615,"Start","BARROW:ARCTOPHILA_POND_ORDINATION"
"64","BARROW:ARCTOPHILA_POND_ORDINATION:End",-0.121351317350985,-0.232689012906615,"End","BARROW:ARCTOPHILA_POND_ORDINATION"
"65","BARROW:BD:Begin",-0.186382925432331,-0.13791643352231,"Start","BARROW:BD"
"66","BARROW:BD:End",-0.209600797620763,-0.201378036755384,"End","BARROW:BD"
"67","BARROW:BG:Begin",-0.221270292575359,-0.308426185844039,"Start","BARROW:BG"
"68","BARROW:BG:End",-0.228022390633733,-0.364224121238316,"End","BARROW:BG"
"69","BARROW:BW:Begin",-0.249672466068089,-0.364143597773554,"Start","BARROW:BW"
"70","BARROW:BW:End",-0.2449291477062,-0.348519587174806,"End","BARROW:BW"
"71","BARROW:CAREX WET MEADOW_ORDINATION:Begin",-0.13770228203006,-0.218184817517466,"Start","BARROW:CAREX WET MEADOW_ORDINATION"
"72","BARROW:CAREX WET MEADOW_ORDINATION:End",-0.13770228203006,-0.218184817517466,"End","BARROW:CAREX WET MEADOW_ORDINATION"
"73","BARROW:CAREX_MESIC MEADOW_ORDINATION:Begin",-0.304344267789557,-0.431148431611146,"Start","BARROW:CAREX_MESIC MEADOW_ORDINATION"
"74","BARROW:CAREX_MESIC MEADOW_ORDINATION:End",-0.294549077735126,-0.400653802321707,"End","BARROW:CAREX_MESIC MEADOW_ORDINATION"
"75","BARROW:CAREX_MOIST MEADOW_ORDINATION:Begin",-0.325791984132255,-0.433984862552325,"Start","BARROW:CAREX_MOIST MEADOW_ORDINATION"
"76","BARROW:CAREX_MOIST MEADOW_ORDINATION:End",-0.315818141461423,-0.405883695371651,"End","BARROW:CAREX_MOIST MEADOW_ORDINATION"
"77","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:Begin",-0.318178583430637,-0.444696187715202,"Start","BARROW:CAREX_MOIST_MEADOW_MICROTOPO"
"78","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:End",-0.294481263386459,-0.451209710864978,"End","BARROW:CAREX_MOIST_MEADOW_MICROTOPO"
"79","BARROW:CAREX_WET_MEADOW_MICROTOPO:Begin",-0.238854026310827,-0.391221107909645,"Start","BARROW:CAREX_WET_MEADOW_MICROTOPO"
"80","BARROW:CAREX_WET_MEADOW_MICROTOPO:End",-0.170278633758789,-0.357971989116686,"End","BARROW:CAREX_WET_MEADOW_MICROTOPO"
"81","BARROW:DRY_HEATH_ORDINATION:Begin",-0.287695614240342,-0.244294455927028,"Start","BARROW:DRY_HEATH_ORDINATION"
"82","BARROW:DRY_HEATH_ORDINATION:End",-0.28969037209426,-0.234329288563102,"End","BARROW:DRY_HEATH_ORDINATION"
"83","BARROW:DUPONTIA_WET_MEADOW_MICROTOPO:Begin",-0.216214023500872,-0.391577366760176,"Start","BARROW:DUPONTIA_WET_MEADOW_MICROTOPO"
"84","BARROW:DUPONTIA_WET_MEADOW_MICROTOPO:End",-0.187573777739296,-0.394522275531818,"End","BARROW:DUPONTIA_WET_MEADOW_MICROTOPO"
"85","BROOKS:SHEEN-B:Begin",-0.111226206500199,0.147430300527677,"Start","BROOKS:SHEEN-B"
"86","BROOKS:SHEEN-B:End",-0.0942920899198436,0.152596454816248,"End","BROOKS:SHEEN-B"
"87","BYLOT:MESPOLYGON:Begin",-0.237759662542571,0.107710316723802,"Start","BYLOT:MESPOLYGON"
"88","BYLOT:MESPOLYGON:End",-0.268143038251436,0.00134242854355945,"End","BYLOT:MESPOLYGON"
"89","BYLOT:MESPRAIRIE:Begin",-0.216165838822572,0.131961395085598,"Start","BYLOT:MESPRAIRIE"
"90","BYLOT:MESPRAIRIE:End",-0.19918607910383,0.147261588270071,"End","BYLOT:MESPRAIRIE"
"91","DISKO:DISTURBANCE:Begin",0.0690502557943937,0.137176336637665,"Start","DISKO:DISTURBANCE"
"92","DISKO:DISTURBANCE:End",0.0106600889080051,0.148645753456316,"End","DISKO:DISTURBANCE"
"93","ENDALEN:BIS-H:Begin",-0.114198402797811,0.142782738842488,"Start","ENDALEN:BIS-H"
"94","ENDALEN:BIS-H:End",-0.0800409718051701,0.167206469073727,"End","ENDALEN:BIS-H"
"95","ENDALEN:BIS-L:Begin",-0.159392839882286,0.152778824013059,"Start","ENDALEN:BIS-L"
"96","ENDALEN:BIS-L:End",-0.123770821894329,0.0957548174807292,"End","ENDALEN:BIS-L"
"97","ENDALEN:CAS-H:Begin",-0.154313594760268,0.181179944809722,"Start","ENDALEN:CAS-H"
"98","ENDALEN:CAS-H:End",-0.139904869928082,0.193518861200797,"End","ENDALEN:CAS-H"
"99","ENDALEN:CAS-L:Begin",-0.182955186756272,0.202720037536269,"Start","ENDALEN:CAS-L"
"100","ENDALEN:CAS-L:End",-0.130135220565801,0.176252394339939,"End","ENDALEN:CAS-L"
"101","ENDALEN:DRY-H:Begin",-0.172855643999227,0.0647580591020606,"Start","ENDALEN:DRY-H"
