"","SPECIES_NAME","TimesInTrend","PropInTrend","FuncGroup"
"107","Carex rariflora",6,46.1538461538462,"Graminoid"
"108","Pyrola secunda",6,75,"Forb"
"109","XXXGRASS:BARROW",6,100,"Graminoid"
"110","XXXluzula:QHI",6,100,"Graminoid"
"111","XXXotherherb:QHI",6,100,"Graminoid"
"112","Hippuris vulgaris",5,100,"Forb"
"113","Salix glauca",5,10.8695652173913,"Shrub"
"114","Poa glauca",5,55.5555555555556,"Graminoid"
"115","Stellaria edwardsii",5,26.3157894736842,"Forb"
"116","Vahlodea atropurpurea",5,45.4545454545455,"Graminoid"
"117","Luzula arcuata",5,45.4545454545455,"Graminoid"
"118","Deschampsia alpina",5,41.6666666666667,"Graminoid"
"119","Oxytropis nigrescens",5,33.3333333333333,"Forb"
"120","Carex parallela",5,26.3157894736842,"Graminoid"
"121","Eriophorum triste",5,62.5,"Graminoid"
"122","Carex microchaeta",5,62.5,"Graminoid"
"123","XXXAntennaria:ANWR",5,71.4285714285714,"Forb"
"124","Saussurea angustifolia",5,20.8333333333333,"Forb"
"125","Stellaria humifusa",5,83.3333333333333,"Forb"
"126","XXXDraba:ALEXFIORD",5,50,"Forb"
"127","Artemisia arctica",4,36.3636363636364,"Forb"
"128","Pedicularis kanei",4,30.7692307692308,"Forb"
"129","Loiseleuria procumbens",4,30.7692307692308,"Shrub"
"130","Viola biflora",4,17.3913043478261,"Forb"
"131","Carex capillaris",4,50,"Graminoid"
"132","XXXLuzula:ZACKENBERG",4,57.1428571428571,"Graminoid"
"133","XXXStellaria:TOOLIK",4,57.1428571428571,"Forb"
"134","Oxytropis maydelliana",4,40,"Forb"
"135","Alopecurus borealis",4,50,"Graminoid"
"136","Potentilla hyparctica",4,12.9032258064516,"Forb"
"137","Carex amblyorhyncha",4,57.1428571428571,"Graminoid"
"138","Pedicularis verticillata",4,66.6666666666667,"Forb"
"139","Salix alaxensis",3,42.8571428571429,"Shrub"
"140","Luzula wahlenbergii",3,30,"Graminoid"
"141","Sibbaldia procumbens",3,16.6666666666667,"Forb"
"142","Bartsia alpina",3,14.2857142857143,"Forb"
"143","XXXHepatica:ABISKO",3,100,"Forb"
