"","SiteSubsiteYear","X","Y","TimePoint","SiteSubsite"
"54","ATQASUK:RATE_DRYAS_HEATH:End",-0.12153500012586,0.00746150642057776,"End","ATQASUK:RATE_DRYAS_HEATH"
"55","ATQASUK:RATE_ERIOPHORUM_WET_MEADOW:Begin",-0.247141106941338,0.416248136717292,"Start","ATQASUK:RATE_ERIOPHORUM_WET_MEADOW"
"56","ATQASUK:RATE_ERIOPHORUM_WET_MEADOW:End",-0.276659904380983,0.452126992684617,"End","ATQASUK:RATE_ERIOPHORUM_WET_MEADOW"
"57","ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW:Begin",0.0707691931468855,0.0468197084900404,"Start","ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW"
"58","ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW:End",0.0577490913478543,0.0230188819984352,"End","ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW"
"59","AUDKULUHEIDI:BETULAHEATH:Begin",0.246327372790868,-0.0955629008303764,"Start","AUDKULUHEIDI:BETULAHEATH"
"60","AUDKULUHEIDI:BETULAHEATH:End",0.260504379355303,-0.0135168159402127,"End","AUDKULUHEIDI:BETULAHEATH"
"61","AUYUITTUQ:OWL RIVER:Begin",-0.138037960902727,-0.260366316092993,"Start","AUYUITTUQ:OWL RIVER"
"62","AUYUITTUQ:OWL RIVER:End",-0.124641692463917,-0.203585650140873,"End","AUYUITTUQ:OWL RIVER"
"63","BARROW:ARCTOPHILA_POND_ORDINATION:Begin",-0.166801271187323,0.282286777987728,"Start","BARROW:ARCTOPHILA_POND_ORDINATION"
"64","BARROW:ARCTOPHILA_POND_ORDINATION:End",-0.152323903595648,0.25406206552313,"End","BARROW:ARCTOPHILA_POND_ORDINATION"
"65","BARROW:BD:Begin",-0.222996167446082,-0.0264902097970751,"Start","BARROW:BD"
"66","BARROW:BD:End",-0.231013558131626,0.00349242537826226,"End","BARROW:BD"
"67","BARROW:BG:Begin",-0.256707129153859,0.358856805849695,"Start","BARROW:BG"
"68","BARROW:BG:End",-0.242070751414027,0.397709186968617,"End","BARROW:BG"
"69","BARROW:BW:Begin",-0.294773654545678,0.408738936524449,"Start","BARROW:BW"
"70","BARROW:BW:End",-0.29465169989033,0.416157669318318,"End","BARROW:BW"
"71","BARROW:CAREX WET MEADOW_ORDINATION:Begin",-0.261261802595367,0.442858101758021,"Start","BARROW:CAREX WET MEADOW_ORDINATION"
"72","BARROW:CAREX WET MEADOW_ORDINATION:End",-0.243344644315356,0.43299397726334,"End","BARROW:CAREX WET MEADOW_ORDINATION"
"73","BARROW:CAREX_MESIC MEADOW_ORDINATION:Begin",-0.314481139442096,0.421154794808736,"Start","BARROW:CAREX_MESIC MEADOW_ORDINATION"
"74","BARROW:CAREX_MESIC MEADOW_ORDINATION:End",-0.318208312515858,0.414189812410126,"End","BARROW:CAREX_MESIC MEADOW_ORDINATION"
"75","BARROW:CAREX_MOIST MEADOW_ORDINATION:Begin",-0.329272498167487,0.486856921709502,"Start","BARROW:CAREX_MOIST MEADOW_ORDINATION"
"76","BARROW:CAREX_MOIST MEADOW_ORDINATION:End",-0.311210793430396,0.43486866238719,"End","BARROW:CAREX_MOIST MEADOW_ORDINATION"
"77","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:Begin",-0.333731240051124,0.436861920695962,"Start","BARROW:CAREX_MOIST_MEADOW_MICROTOPO"
"78","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:End",-0.321315636100957,0.451053404927674,"End","BARROW:CAREX_MOIST_MEADOW_MICROTOPO"
"79","BARROW:CAREX_WET_MEADOW_MICROTOPO:Begin",-0.243123953910724,0.384793114898314,"Start","BARROW:CAREX_WET_MEADOW_MICROTOPO"
"80","BARROW:CAREX_WET_MEADOW_MICROTOPO:End",-0.251536345211947,0.477230664915028,"End","BARROW:CAREX_WET_MEADOW_MICROTOPO"
"81","BARROW:DRY_HEATH_ORDINATION:Begin",-0.295821279828632,0.0301424770274606,"Start","BARROW:DRY_HEATH_ORDINATION"
"82","BARROW:DRY_HEATH_ORDINATION:End",-0.276700036173474,0.0518174825076466,"End","BARROW:DRY_HEATH_ORDINATION"
"83","BARROW:DUPONTIA_WET_MEADOW_MICROTOPO:Begin",-0.254699720158181,0.447051544132245,"Start","BARROW:DUPONTIA_WET_MEADOW_MICROTOPO"
"84","BARROW:DUPONTIA_WET_MEADOW_MICROTOPO:End",-0.249838652052679,0.471419826137224,"End","BARROW:DUPONTIA_WET_MEADOW_MICROTOPO"
"85","BROOKS:SHEEN-B:Begin",-0.130452706093551,-0.220968772765815,"Start","BROOKS:SHEEN-B"
"86","BROOKS:SHEEN-B:End",-0.129314756171087,-0.229703603017959,"End","BROOKS:SHEEN-B"
"87","BYLOT:MESPOLYGON:Begin",-0.269970874485279,-0.121430043708872,"Start","BYLOT:MESPOLYGON"
"88","BYLOT:MESPOLYGON:End",-0.302311660076701,-0.076921013437598,"End","BYLOT:MESPOLYGON"
"89","BYLOT:MESPRAIRIE:Begin",-0.285141549339313,-0.27007082933394,"Start","BYLOT:MESPRAIRIE"
"90","BYLOT:MESPRAIRIE:End",-0.256989148361072,-0.265149895808917,"End","BYLOT:MESPRAIRIE"
"91","DISKO:DISTURBANCE:Begin",0.0316237581832329,-0.301869578909819,"Start","DISKO:DISTURBANCE"
"92","DISKO:DISTURBANCE:End",0.0637534960962815,-0.277666776272507,"End","DISKO:DISTURBANCE"
"93","ENDALEN:BIS-H:Begin",-0.0845266462792138,-0.100479781669733,"Start","ENDALEN:BIS-H"
"94","ENDALEN:BIS-H:End",-0.0647097199516113,-0.0687886080449151,"End","ENDALEN:BIS-H"
"95","ENDALEN:BIS-L:Begin",-0.135152499231354,-0.0184266495114298,"Start","ENDALEN:BIS-L"
"96","ENDALEN:BIS-L:End",-0.115821718949617,0.00370037888929795,"End","ENDALEN:BIS-L"
"97","ENDALEN:CAS-H:Begin",-0.200195103020221,-0.276645818752405,"Start","ENDALEN:CAS-H"
"98","ENDALEN:CAS-H:End",-0.170229972449544,-0.277940863434971,"End","ENDALEN:CAS-H"
"99","ENDALEN:CAS-L:Begin",-0.195764073449401,-0.286219456205984,"Start","ENDALEN:CAS-L"
"100","ENDALEN:CAS-L:End",-0.172933074856538,-0.241062247144377,"End","ENDALEN:CAS-L"
