FID,MA_tmp,MA_prp,Tundra
156,-20.9538002,13.6667004,OtherBiomes
157,-16.3885002,14.25,Tundra
158,-20.7667999,16.4167004,Tundra
159,-16.1389008,17.8332996,Tundra
160,-18.5804005,12.8332996,Tundra
161,-17.0114994,19.4167004,Tundra
162,-16.9477997,19.6667004,Tundra
163,-17.3474007,14,Tundra
164,-25.4825993,20.1667004,OtherBiomes
165,-18.5414009,11.75,OtherBiomes
166,-24.0662003,42,OtherBiomes
167,-19.1100998,10.1667004,Tundra
168,-8.7178297,34.1666985,Tundra
169,-21.6075993,41.5,OtherBiomes
170,-25.8736992,41.0833015,OtherBiomes
171,-7.9818301,31.4167004,Tundra
172,-26.5347004,33.8333015,OtherBiomes
173,-24.3356991,17.1667004,OtherBiomes
174,-18.1924992,12.8332996,Tundra
175,-19.4225006,10,Tundra
176,-26.0165005,19.5832996,OtherBiomes
177,-20.1923008,15,Tundra
178,-18.3796997,12.9167004,OtherBiomes
179,-26.6077003,25,OtherBiomes
180,-21.8451004,16.4167004,Tundra
181,-25.6532993,18.8332996,OtherBiomes
182,-20.0090008,15.3332996,Tundra
183,-22.6508999,43.1666985,OtherBiomes
184,-19.2331009,9.0833302,Tundra
185,-25.2154999,39.75,OtherBiomes
186,-19.1460991,14.6667004,Tundra
187,-20.4130993,13.3332996,OtherBiomes
188,-20.2528992,12.75,OtherBiomes
189,-21.2970009,16.25,Tundra
190,-17.2353992,31.25,OtherBiomes
191,-17.9727993,18.9167004,Tundra
192,-18.6555004,14.1667004,Tundra
193,-5.8621702,35,Tundra
194,-25.3712997,40.9166985,OtherBiomes
195,-24.2978001,15.4167004,OtherBiomes
196,-21.9095001,14,OtherBiomes
197,-20.1562996,39.8333015,OtherBiomes
198,-15.1351995,12.8332996,Tundra
199,-25.2014999,41.5,OtherBiomes
200,-21.9174995,15.1667004,Tundra
201,-25.9757004,19.5832996,OtherBiomes
202,-19.0387001,28.4167004,OtherBiomes
203,-25.5921993,19.6667004,OtherBiomes
204,-18.0093002,14.1667004,Tundra
205,-24.6105995,16.25,OtherBiomes
206,-18.7098007,38.4166985,OtherBiomes
207,-21.3145008,50.5,OtherBiomes
208,-17.8384991,17.4167004,Tundra
209,-12.3481998,15.5832996,Tundra
210,-8.3903303,29.5,Tundra
211,-18.4937,14.25,Tundra
212,-18.3682995,16.5,Tundra
213,-15.7531996,17,Tundra
214,-27.0918007,35.75,OtherBiomes
215,-19.1679993,16.3332996,OtherBiomes
216,-15.6269999,18.9167004,Tundra
217,-20.5725002,14.8332996,OtherBiomes
