"","Cassiope tetragona","Dryas integrifolia","Luzula arctica","Luzula confusa","Oxyria digyna","Salix arctica","Betula nana","Rubus chamaemorus","Carex bigelowii","Poa arctica","Vaccinium vitis-idaea","Ledum palustre","Pedicularis lapponica","Eriophorum angustifolium","Polygonum viviparum","Salix pulchra","Eriophorum vaginatum","Carex aquatilis","Petasites frigidus","Pedicularis sudetica","Vaccinium uliginosum","Pedicularis langsdorffii","Eriophorum scheuchzeri","Pedicularis kanei","Saxifraga punctata","Luzula wahlenbergii","Calamagrostis holmii","Salix ovalifolia","Pedicularis capitata","Pyrola grandiflora","Arctagrostis latifolia","Saxifraga foliolosa","Carex rariflora","Comarum palustre","Epilobium palustre","Dupontia fisheri","Hippuris vulgaris","Juncus biglumis","Juncus albescens","Saxifraga cernua","Carex chordorrhiza","Caltha palustris","Hierochloe pauciflora","Saxifraga hirculus","Minuartia arctica","Bromus pumpellianus","Salix lanata","Packera hyperborealis","Achillea lanulosa","Stellaria laeta","Saxifraga hieraciifolia","Salix reticulata","Draba nivalis","Erigeron eriocephalus","Kobresia sibirica","Koeleria asiatica","Festuca brachyphylla","Salix glauca","Empetrum nigrum","Salix alaxensis","Poa glauca","Arctostaphylos rubra","Astragalus alpinus","Salix niphoclada","Elymus arenarius","Androsace septentrionalis","Lupinus arcticus","Stellaria edwardsii","Saussurea angustifolia","Carex maritima","Lagotis glauca","Potentilla hookeriana","Tofieldia pusilla","Tofieldia coccinea","Poa lanata","Antennaria friesiana","Polygonum bistorta","Bupleurum americanum","Tephroseris atropurpurea","Artemisia glomerata","Artemisia borealis","Luzula multiflora","Carex obtusata","Cardamine pratensis","Stellaria monantha","Alopecurus alpinus","Artemisia arctica","Salix phlebophylla","Anemone parviflora","Diapensia lapponica","Hierochloe alpina","Carex scirpoidea","Salix rotundifolia","Calamagrostis inexpansa","Cochlearia officinalis","Arnica lessingii","Eriophorum russeolum","Arctophila fulva","Ranunculus pallasii","Draba micropetala","Senecio atropurpureus","Ranunculus nivalis","Potentilla hyparctica","Cerastium gorodkovianum","Poa alpina","Saxifraga flagellaris","Papaver hultenii","Papaver macounii","Rumex arcticus","Eutrema edwardsii","Salix polaris","Deschampsia flexuosa","Calluna vulgaris","Empetrum hermaphroditum","Phyllodoce caerulea","Vaccinium myrtillus","Juniperus communis","Trientalis europaea","Arctostaphylos alpina","Hieracium alpinum","Solidago virgaurea","Juncus trifidus","Diphasiastrum alpinum","Festuca ovina","Cassiope hypnoides","Andromeda polifolia","Diphasiastrum complanatum","Loiseleuria procumbens","Betula pubescens","Salix herbacea","Bistorta vivipara","Rumex acetosa","Calamagrostis lapponica","Carex lachenalii","Luzula spicata","Agrostis mertensii","Carex brunnescens","Poa pratensis","Gnaphalium supinum","Sibbaldia procumbens","Vahlodea atropurpurea","Phleum alpinum","XXXCarex:SWEDEN","Rhodiola rosea","XXXTaraxacum:SWEDEN","Viola biflora","Antennaria dioica","Gentiana nivalis","Ranunculus acris","Veronica alpina","Anthoxanthum odoratum","Antennaria alpina","Pyrola minor","Androsace chamaejasme","Potentilla robbinsiana","Leymus mollis","Rhododendron lapponicum","Salix hastata","Salix myrsinites","Carex vaginata","Chamorchis alpina","Astragalus frigidus","Bartsia alpina","Carex parallela","Pinguicula vulgaris","Calamagrostis stricta","XXXFestuca:THUFUVER","Luzula arcuata","Minuartia biflora","Minuartia stricta","Pedicularis flammea","Cerastium alpinum","Deschampsia alpina","Euphrasia frigida","Kobresia myosuroides","Koenigia islandica","Arabis petraea","Armeria maritima","Thymus praecox","Salix phylicifolia","Silene acaulis","XXXSagina:THUFUVER","XXXMinuartia:THUFUVER","Saxifraga nivalis","Thalictrum alpinum","Festuca richardsonii","Dryas octopetala","Oxytropis nigrescens","Pedicularis lanata","XXXCarex microchaeta&rupestris:WOLFCREEK","Linnaea borealis","Arctous alpina","Lysimachia europaea","Saussurea alpina","Deschampsia cespitosa","XXXHepatica:ABISKO","Orthilia secunda","Persicaria vivipara","Equisetum arvense","Luzula nivalis","Luzula parviflora","Carex rupestris","XXXLuzula spicata/confusa:DISKO","XXXPoa:DISKO","Stellaria longipes","Festuca rubra","Cerastium arcticum","Carex microglochin","Carex norvegica","Carex capillaris","Saxifraga tricuspidata","Carex fuliginosa","Potentilla crantzii","Pyrola rotundifolia","Saxifraga aizoides","Festuca vivipara","Taraxacum croceum","Trisetum spicatum","Cerastium cerastoides","Parnassia palustris","Rumex alpestris","Trollius europaeus","Gymnadenia conopsea","Pinguicula villosa","Vaccinium microcarpum","Pseudorchis albida","Alopecurus magellanicus","XXXDUPONTIA:SADVENT","XXXWOODYDRYAS:SADVENT","Stellaria crassipes","XXXWOODYSALIX:SADVENT","Pedicularis dasyantha","Saxifraga oppositifolia","Harrimanella hypnoides","Potentilla uniflora","XXXFORB:KANGER","XXXGRAMINOID:KANGER","XXXPOLYGONUM:KANGER","XXXSTELLARIA:KANGER","XXXCAMPANULA:KANGER","XXXPOA:SADVENT","Carex supina","Carex nardina","Lesquerella arctica","Arenaria pseudofrigida","XXXDryas:ZACKENBERG","XXXLuzula:ZACKENBERG","Dupontia psilosantha","Eriophorum triste","Pedicularis hirsuta","XXXFestuca:ZACKENBERG","Papaver radicatum","Ledum decumbens","Pyrola secunda","Salix chamissonis","Arnica alpina","XXXPedicularis:TOOLIK","XXXEriophorum:TOOLIK","Polemonium acutiflorum","Carex microchaeta","XXXGentiana:TOOLIK","XXXCalamagrostis:TOOLIK","XXXUNKDIC:TOOLIK","XXXUNKGRA:TOOLIK","Valeriana capitata","Salix fuscescens","Carex rotundata","Pedicularis labradorica","XXXStellaria:TOOLIK","Oxytropis maydelliana","Cardamine hyperborea","Carex misandra","Epilobium latifolium","XXXCarex:TOOLIK","XXXArnica:TOOLIK","XXXTofieldia:TOOLIK","Ranunculus lapponicus","XXXAnemone:TOOLIK","XXXUNKFOR:TOOLIK","Geum glaciale","Oxycoccus microcarpus","XXXAntennaria:ANWR","Arnica frigida","XXXCOMP:ANWR","Douglasia ochotensis","Salix planifolia","XXXCalamagrostis:ANWR","Oxytropis borealis","Astragalus umbellatus","Boykinia richardsonii","Carex krausei","Hedysarum alpinum","XXXUNIFOR:ANWR","XXXTofieldia:ANWR","XXXSenecio:ANWR","XXXCardamine:ANWR","XXXLuzula:ANWR","XXXSEDGE:ANWR","XXXGRAMINOID:ANWR","XXXPedicularis:ANWR","XXXPoa:ANWR","Festuca altaica","XXXCarex:BROOKS","Potentilla fruticosa","Salix arbusculoides","Gentiana propinqua","XXXDraba:ENDALEN","Saxifraga cespitosa","Ranunculus pygmaeus","Alopecurus borealis","Poa tolmatchewii","Salix arctica/arctophila","XXXSALIX:AUYUITTUQ","XXXGRAMINOID:AUYUITTUQ","Persicaria bistorta","Minuartia obtusiloba","XXXEriophorum scheuchzeri/chamissonis:ATQASUK","Papaver lapponicum","Tephroseris integrifolia","XXXEriophorum scheuchzeri/chamissonis:BARROW","XXXGRASS:BARROW","Cerastium beeringianum","XXXGRAMINOID:BARROW","Carex subspathacea","Stellaria humifusa","Draba lactea","Silene uralensis","Chrysosplenium tetrandrum","Coptidium pallasii","XXXDraba:BYLOT","Cardamine bellidifolia","XXXLuzula:BYLOT","XXXRanunculaceae:BYLOT","XXXSaxifraga:BYLOT","Carex membranacea","Carex amblyorhyncha","Carex atrofusca","XXXDraba:ALEXFIORD","Braya purpurascens","Kobresia simpliciuscula","Melandrium affine","Galium verum","Galium boreale","Galium normanii","Avenella flexuosa","Agrostis vinealis","XXXluzula:QHI","XXXothergram:QHI","Festuca baffinensis","XXXotherherb:QHI","XXXcarex:QHI","Saxifraga nelsoniana","XXXotherforb:QHI","Cardamine digitata","Oxytropis campestris","Pedicularis verticillata","XXXkobresia:QHI","Lagotis minor"
"ATQASUK:AD:Begin",15.2731033396784,0,0,12.9841177182475,0,0,0,0,16.993646630078,0,18.3324742525412,25.0596214958867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.27272727272727,0,0,0,0,0,0,0,0,0,0,0,8.79647346622423,0,12.3638234748393,9.35493691920212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.28502415458937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.56867864274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.37984896754339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ATQASUK:AD:End",8.22592331926258,0,0,10.8249939069829,0,0,0,0,16.7990190814868,0,28.2642300046932,18.0803041093621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.79605263157895,0,0,0,0,0,0,0,0,0,0,0,8.79139637374249,0,7.76786181824934,13.1869928662855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.69491525423729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.4712857693298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.82363451718675,2.66290726817043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ATQASUK:AG:Begin",11.6153355161184,0,0,5.59900110553537,0,0,25.9294081361953,8.17024272372744,11.0697320206289,1.19047619047619,21.2570560992339,15.4607600490032,2.92443450244452,10.0215517241379,0,21.8794055421334,23.3804409815667,33.6751142057627,0,6.52173913043478,0,0,0,0,0,0,0,0,0,5.71428571428571,5.96238495398159,0,3.39592510250786,0,0,4.86062717770035,0,0.99009900990099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.53452755326083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.56493202916765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.19705290063954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.44827586206897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.52598091198303,0,0,0,0,0,0,0,0,8.69565217391304,0,2.15917464996315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.44820113563133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.6666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.99930067826689,0,3.98863649346212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ATQASUK:AG:End",7.17819414540571,0,0,4.45707702390188,0,0,19.1712857876324,6.09778390928708,16.2886169264785,0.72992700729927,17.29357695265,13.5155842644335,1.1318964773621,11.2433970067499,0,12.7377918331715,27.9882846855649,42.4074141328365,3.2520325203252,1.01928374655647,0,0,0,0,0,0.606060606060606,0,0,0,0,6.875,0,0,0,0,5.08530082998168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.8348835271358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.714285714285714,1.0623033740078,0,2.68456375838926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.89525968762617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.49921792667369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02754605491832,0,0,0,0,0,0,0,0,0,0,1.12403100775194,0,0,0,0,2.18978102189781,0,0,0,0,0,0,0,0,0,0,0,0,7.02098131563121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.2865957845037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3872573010458,0,5.0474987974988,0,0.625,0,0,0,0,0,0,0,0,0,2.89855072463768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ATQASUK:AW:Begin",0,0,0,0,0,0,14.0033641715728,0,0,0,0,0,0,15.14821630105,0,23.4147995895552,0,43.1261822990277,0,5.33742048038977,0,0,0,0,0,1.69491525423729,0,0,0,0,0,0,0,0,0,4.54149969870051,0,1.92307692307692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.15265560757192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.3353029411372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.38538999269383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ATQASUK:AW:End",0,0,0,0,0,0,8.76502640152792,0,0,0,0,0,0,18.4875230020349,0,14.3485271956065,0,48.2397615028202,0,2.55918956348627,0,0,0,0,0,0,0,0,0,0,0,0,8.39549037918603,0,0,2.33023215294897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.5299538783464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.06099796984757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.49595418242959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.14342258499591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ATQASUK:RATE_BETULA_SHRUB:Begin",8.89289706079183,0,0,0.82337732912862,0,16.3104096798518,27.994234823068,6.04603318794452,10.0983453272729,0.109838535705758,7.7656389092803,2.81578704949614,1.3120132370427,4.07760241996294,1.65159858226778,5.84344909286195,20.6969631060862,34.0295528734085,2.47163148614258,0,4.65248279744486,0.159444628069131,2.92760043144972,0,0.232624139872243,3.56110694848128,2.31957021725737,2.32604095478835,1.64794802466459,2.24268133097962,5.63617636159453,0.494026397477172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ATQASUK:RATE_BETULA_SHRUB:End",11.417780861113,0,0,1.24352434696319,0,6.2015503875969,18.8141233466909,7.51185519733852,8.82557264375955,1.85177298003974,18.4293503658705,7.35709680512446,0.87933475394748,2.8085221489346,6.33051273856883,8.69589690859517,12.1831308881375,16.0135991560758,0.509065437307573,1.80158799542217,6.25433894764493,0,12.4352434696319,5.32550635869116,0,2.48704869392638,2.46896891428698,3.48186817149693,3.6473836151709,2.48062015503876,2.63572327541331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ATQASUK:RATE_CAREX_ WET_MEADOW:Begin",0,0.423217724358296,0,0,0,5.8358506949081,0,0,0,1.49337092645746,0,0,0,4.09124574137165,0.353871748955075,3.41354726369645,0,9.6750248650241,0,0,0,5.39602598556828,2.4640620286548,0,0,0.579964094519119,0,0,0,0,1.19469674116596,0.238939348233193,28.5000846074881,0.052902215544787,0.211608862179148,0.740559046230505,2.53930634614978,0.612382839802675,0.497889866880916,0,40.6775151435385,0.217807250573883,1.26830013926139,0.530233044568212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ATQASUK:RATE_CAREX_ WET_MEADOW:End",0,8.43666687914568,0,0,0,5.69280665832593,0,0,0,0,0,0,0,6.82069115070993,1.35642475700195,9.3431407632832,0,11.7925153632815,0,3.12456644906316,0,0,0.783854714375852,0,0,2.66105348330198,0,0,0,0,0,1.99653010005269,3.09403265330317,3.1598924754182,0,4.08680049403458,0,5.55426320060324,4.44541137500015,0.914436204358203,46.6362464222683,1.57291852873533,4.6437488085052,3.83188485383738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ATQASUK:RATE_DRYAS_HEATH:Begin",17.5347069695473,5.19239820419403,0.622103109605514,2.28089590521738,0,0,0,0,14.6488140224225,1.02335955488759,0.0905486250644027,0,0,1.54218122685657,0.153579628196355,19.6862737583518,0,23.7512418723698,0.457962207533848,0,0.198836789873931,0.17135346965073,0,0,0.165221741287713,0.391448135807678,0,0,0.598414507307245,5.09259351388328,0.710014461605269,0,0,0,0,2.38484905396019,1.04238903973325,0.327587753618612,0,0,0,0,0,0.894318395235072,4.03604314365757,3.85107026252282,15.9196995446584,0.81350717735196,13.644747847748,0.222103620508848,0.298106131745024,9.95418856715085,0.894869294295117,1.21757011940113,4.0675358867598,0.0547879159772521,3.8973508293243,4.07468812789812,7.77700805339095,17.0576697673215,0.492911394277347,4.55744603934084,2.11290000517686,9.31836320327282,0,0.304438186446931,10.5647663248373,0.443291710675379,0.543291750386416,1.0073079498714,0.263221811037848,0,1.65793847070521,0,0.284166657535347,2.58843192793805,0.13696978994313,3.78036620243039,0.198836789873931,0.12313540457191,0.246640585133526,0,17.166880339539,0,0.913131932954201,0,0.808852266210831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.867475336306491,7.90772253938338,20.3628421048787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
