"","SiteSubsitePlot","FuncGroup","FGSlope"
"62","ALEXFIORD:CASSIOPE:Cas.c.c.4new","DwarfShrubCoverNew",0.473686856217767
"63","ALEXFIORD:CASSIOPE:Cas.c.c.4new","NonDwarfShrubCoverNew",-0.641681272819358
"64","ALEXFIORD:CASSIOPE:Cas.c.c.5new","DwarfShrubCoverNew",0.149187486337116
"65","ALEXFIORD:CASSIOPE:Cas.c.c.5new","NonDwarfShrubCoverNew",-0.208082817636708
"66","ALEXFIORD:CASSIOPE:Cas.c.c.6new","DwarfShrubCoverNew",0.391708505585971
"67","ALEXFIORD:CASSIOPE:Cas.c.c.6new","NonDwarfShrubCoverNew",-0.618437950340698
"68","ALEXFIORD:CASSIOPE:Cas.c.c.7new","DwarfShrubCoverNew",0.73208156838523
"69","ALEXFIORD:CASSIOPE:Cas.c.c.7new","NonDwarfShrubCoverNew",-0.646492713676983
"70","ALEXFIORD:CASSIOPE:Cas.c.c.8new","DwarfShrubCoverNew",0.381690757014038
"71","ALEXFIORD:CASSIOPE:Cas.c.c.8new","NonDwarfShrubCoverNew",-0.524168631978192
"72","ALEXFIORD:CASSIOPE:Cas.c.c.9","DwarfShrubCoverNew",-0.335648656786869
"73","ALEXFIORD:CASSIOPE:Cas.c.c.9","NonDwarfShrubCoverNew",0.513326334464546
"74","ALEXFIORD:CASSIOPE:Cas.c.c.9new","DwarfShrubCoverNew",0.499495388679091
"75","ALEXFIORD:CASSIOPE:Cas.c.c.9new","NonDwarfShrubCoverNew",-1.16202317109805
"76","ALEXFIORD:DOMEDOLOMITE:Dom.c.1d","NonDwarfShrubCoverNew",-3.43450079800605e-15
"77","ALEXFIORD:DOMEDOLOMITE:Dom.c.2d","DwarfShrubCoverNew",-1.65282392026583
"78","ALEXFIORD:DOMEDOLOMITE:Dom.c.2d","NonDwarfShrubCoverNew",3.79152823920278
"79","ALEXFIORD:DOMEDOLOMITE:Dom.c.3d","DwarfShrubCoverNew",1.02436323366554
"80","ALEXFIORD:DOMEDOLOMITE:Dom.c.3d","NonDwarfShrubCoverNew",-1.02436323366554
"81","ALEXFIORD:DOMEDOLOMITE:Dom.c.5d","NonDwarfShrubCoverNew",1.00775193798456
"82","ALEXFIORD:DOMEGRANITE:Dom.c.1g","NonDwarfShrubCoverNew",1.6100178890878
"83","ALEXFIORD:DOMEGRANITE:Dom.c.2g","NonDwarfShrubCoverNew",0.872093023256055
"84","ALEXFIORD:DOMEGRANITE:Dom.c.3g","NonDwarfShrubCoverNew",2.78239202657816
"85","ALEXFIORD:DOMEGRANITE:Dom.c.5g","NonDwarfShrubCoverNew",1.20751341681577
"86","ALEXFIORD:DRYAS:Dry.c.1","DwarfShrubCoverNew",-0.816428380434766
"87","ALEXFIORD:DRYAS:Dry.c.1","NonDwarfShrubCoverNew",0.226842311334294
"88","ALEXFIORD:DRYAS:Dry.c.10","DwarfShrubCoverNew",-0.195104663615843
"89","ALEXFIORD:DRYAS:Dry.c.10","NonDwarfShrubCoverNew",-0.45930405376406
"90","ALEXFIORD:DRYAS:Dry.c.2","DwarfShrubCoverNew",-0.516812352302973
"91","ALEXFIORD:DRYAS:Dry.c.2","NonDwarfShrubCoverNew",0.196122220997294
"92","ALEXFIORD:DRYAS:Dry.c.3","DwarfShrubCoverNew",0.119652948796772
"93","ALEXFIORD:DRYAS:Dry.c.3","NonDwarfShrubCoverNew",-0.011215061301038
"94","ALEXFIORD:DRYAS:Dry.c.4","DwarfShrubCoverNew",-0.317196601457766
"95","ALEXFIORD:DRYAS:Dry.c.4","NonDwarfShrubCoverNew",-0.208397307422603
"96","ALEXFIORD:DRYAS:Dry.c.5","DwarfShrubCoverNew",-0.325381551679618
"97","ALEXFIORD:DRYAS:Dry.c.5","NonDwarfShrubCoverNew",-0.344656042096293
"98","ALEXFIORD:DRYAS:Dry.c.6","DwarfShrubCoverNew",-0.38257768481611
"99","ALEXFIORD:DRYAS:Dry.c.6","NonDwarfShrubCoverNew",-0.267304986871235
"100","ALEXFIORD:DRYAS:Dry.c.7","DwarfShrubCoverNew",-0.540446204394086
"101","ALEXFIORD:DRYAS:Dry.c.7","NonDwarfShrubCoverNew",0.360260421738694
"102","ALEXFIORD:DRYAS:Dry.c.8","DwarfShrubCoverNew",-0.633810964578635
"103","ALEXFIORD:DRYAS:Dry.c.8","NonDwarfShrubCoverNew",-0.307807219310859
"104","ALEXFIORD:DRYAS:Dry.c.9","DwarfShrubCoverNew",-1.72724425556029
"105","ALEXFIORD:DRYAS:Dry.c.9","NonDwarfShrubCoverNew",0.290348214713759
"106","ALEXFIORD:FERT:Fert.c.c.13","DwarfShrubCoverNew",-0.198049858943471
"107","ALEXFIORD:FERT:Fert.c.c.13","NonDwarfShrubCoverNew",-0.15659808282624
"108","ALEXFIORD:FERT:Fert.c.c.21","DwarfShrubCoverNew",-0.342634101160204
"109","ALEXFIORD:FERT:Fert.c.c.21","NonDwarfShrubCoverNew",0.706689022388374
"110","ALEXFIORD:FERT:Fert.c.c.29","DwarfShrubCoverNew",-1.00275724578093
"111","ALEXFIORD:FERT:Fert.c.c.29","NonDwarfShrubCoverNew",1.60276278233948
"112","ALEXFIORD:FERT:Fert.c.c.37","DwarfShrubCoverNew",-0.451192607658067
"113","ALEXFIORD:FERT:Fert.c.c.37","NonDwarfShrubCoverNew",0.324867612981681
"114","ALEXFIORD:FERT:Fert.c.c.5","DwarfShrubCoverNew",0.0521780383733452
"115","ALEXFIORD:FERT:Fert.c.c.5","NonDwarfShrubCoverNew",0.3053286063463
"116","ALEXFIORD:MEADOW:Mead.c.1","DwarfShrubCoverNew",-0.357604754609401
"117","ALEXFIORD:MEADOW:Mead.c.1","NonDwarfShrubCoverNew",-0.0519423641221038
"118","ALEXFIORD:MEADOW:Mead.c.10","DwarfShrubCoverNew",0.197938830914819
"119","ALEXFIORD:MEADOW:Mead.c.10","NonDwarfShrubCoverNew",0.178628577011085
"120","ALEXFIORD:MEADOW:Mead.c.2","DwarfShrubCoverNew",-0.550648580663454
"121","ALEXFIORD:MEADOW:Mead.c.2","NonDwarfShrubCoverNew",-0.0901370419839905
"122","ALEXFIORD:MEADOW:Mead.c.3","DwarfShrubCoverNew",-0.510458583126901
"123","ALEXFIORD:MEADOW:Mead.c.3","NonDwarfShrubCoverNew",0.0686885000738672
"124","ALEXFIORD:MEADOW:Mead.c.4","DwarfShrubCoverNew",-0.0171161876061787
"125","ALEXFIORD:MEADOW:Mead.c.4","NonDwarfShrubCoverNew",-0.0745135778894219
"126","ALEXFIORD:MEADOW:Mead.c.5","DwarfShrubCoverNew",0.0503138049305319
"127","ALEXFIORD:MEADOW:Mead.c.6","DwarfShrubCoverNew",-0.791777257151735
"128","ALEXFIORD:MEADOW:Mead.c.6","NonDwarfShrubCoverNew",0.00298955109265576
"129","ALEXFIORD:MEADOW:Mead.c.7","DwarfShrubCoverNew",-0.606922123846555
"130","ALEXFIORD:MEADOW:Mead.c.7","NonDwarfShrubCoverNew",-0.0715011951751004
